What is your age?,What is your gender?,Where are you from?,What do you do currently?,What is your approximate monthly travel or personal spending budget?,Which place did you visit recently?,What type of trip was it?,How many days did the trip last?,Which month did you travel?,In Which season do you visited?,What was your approximate total trip budget (in rupees)?,What was your primary mode of travel?,How would you describe your stay/hotel experience?,Rate the local transportation experience.,How good were the sightseeing places?,"Overall, how satisfied were you with the trip?",Would you like to revisit the same destination?,"If you travel again, what kind of experience would you prefer?"
19,Female,Andhra Pradesh,Student,"Less than â‚¹1,000",Jyothi chowka,Friends trip,0,November,rainy,900,Bus,Average,3,3,3,No,Cultural exploration
19,Male,Karnataka,Student,"â‚¹1,000 â€“ â‚¹3,000",Manikomda,Friends trip,4,November,Winter,3952,Bus,Good,4,3,3,Yes,Food-focused trip
20,Male,uttarakhand,Student,"Less than â‚¹1,000",Manali,Friends trip,5,October,rainy,5000,Bike,Good,4,4,4,Maybe,Nature & sightseeing
17,Male,punjab,Student,"Less than â‚¹1,000",Yadadri,Friends trip,3,July,winter,5033,Bus,Good,4,4,3,Yes,Relaxing holiday
23,Male,assam,Student,"Above â‚¹15,000",tirupati,Family trip,8,April,Rainy,8000,Flight,Good,4,5,4,Yes,Nature & sightseeing
19,Male,Hyderabad,Homemaker,"â‚¹1,000 â€“ â‚¹3,000",kedarnath,Solo,6,February,Summer,4000,Train,Good,4,5,5,Yes,Cultural exploration
21,Male,andhra pradesh,Student,"â‚¹7,000 â€“ â‚¹15,000",Ooty,Solo,3,July,summer,3205,Train,Good,5,5,5,Yes,Nature & sightseeing
28,Female,chhattisgarh,Business,"Above â‚¹15,000",Kohima,Business trip,7,August,winter,15000,Flight,Good,4,5,5,Yes,Luxury travel
20,Female,ladakh,Student,"â‚¹1,000 â€“ â‚¹3,000",Triund,Solo,1,June,Summer,1476,Train,Good,5,5,5,Yes,Adventure trip
19,Male,andhra pradesh,Business,"â‚¹7,000 â€“ â‚¹15,000",Ludhiana,Friends trip,3,October,winter,5459,Train,Good,4,5,3,Yes,Relaxing holiday
20,Male,nagaland,Student,"â‚¹1,000 â€“ â‚¹3,000",lotus temple,Solo,7,May,rainy,16000,Train,Poor,3,3,2,Yes,Relaxing holiday
23,Female,haryana,Student,"â‚¹3,000 â€“ â‚¹7,000",tirupati,Friends trip,7,October,summer,10359,Train,Good,4,4,4,Maybe,Relaxing holiday
19,Female,Rajasthan ,Student,"Less than â‚¹1,000",Jaipur,Friends trip,6,September,winter,5452,Flight,Excellent,3,5,4,Maybe,Adventure trip
21,Female,Uttar pradesh,Student,"Less than â‚¹1,000",Kashmir,Family trip,7,June,Summer,3400,Flight,Good,3,5,5,Yes,Cultural exploration
19,Female,kerela,Student,"â‚¹1,000 â€“ â‚¹3,000",Malakonda,Family trip,2,November,Spring,5000,Bus,Good,4,5,5,Yes,Nature & sightseeing
21,Female,delhi,Student,"Less than â‚¹1,000",Agra,Family trip,2,August,rainy,1500,Car,Good,4,5,5,Maybe,Cultural exploration
20,Male,jharkhand,Student,"â‚¹1,000 â€“ â‚¹3,000",Katara ,Friends trip,4,October,summer,6000,Car,Average,5,5,5,Maybe,Nature & sightseeing
19,Female,Haryana ,Student,"â‚¹7,000 â€“ â‚¹15,000",Manali,Family trip,5,May,Winter,6000,Car,Good,4,5,4,Maybe,Relaxing holiday
23,Female,punjab,Student,"â‚¹7,000 â€“ â‚¹15,000",Shirdi,Friends trip,5,October,winter,8673,Train,Good,4,5,4,Yes,Adventure trip
20,Female,haryana,Student,"â‚¹3,000 â€“ â‚¹7,000",Jalandhar ,Friends trip,1,November,summer,1000,Bus,Average,3,3,3,Yes,Nature & sightseeing
23,Female,ladakh,Student,"Less than â‚¹1,000",Kanyakumari,Friends trip,7,October,autumn,6597,Bus,Good,4,3,3,No,Adventure trip
20,Male,Bangalore ,Student,"Less than â‚¹1,000",Hyderabad,Friends trip,4,October,Winter,4850,Car,Excellent,4,5,5,Maybe,Food-focused trip
19,Male,Andhra Pradesh,Student,"â‚¹1,000 â€“ â‚¹3,000",Golden temple ,Friends trip,2,October,rainy,2000,Car,Good,2,2,3,Yes,Budget travel
29,Female,Jharkhand ,Working Professional,"â‚¹3,000 â€“ â‚¹7,000",Shimla,Family trip,6,January,Winter,3490,Train,Good,3,5,4,Yes,Relaxing holiday
20,Male,Himachal Pradesh ,Student,"Above â‚¹15,000",manali,Friends trip,5,November,rainy,7895,Car,Average,1,5,4,Maybe,Cultural exploration
21,Male,ladakh,Student,"â‚¹3,000 â€“ â‚¹7,000",Jammu,Friends trip,5,October,Spring,5000,Bus,Good,5,5,5,Yes,Relaxing holiday
19,Male,chandigarh,Student,"Less than â‚¹1,000",Panipat,Solo,2,October,autumn,3382,Train,Excellent,3,4,5,Yes,Nature & sightseeing
19,Female,chandigarh,Student,"â‚¹3,000 â€“ â‚¹7,000",Jalandhar ,Family trip,3,October,rainy,3000,Bus,Average,2,2,2,No,Relaxing holiday
23,Female,punjab,Business,"Less than â‚¹1,000",Kanyakumari,Business trip,6,November,autumn,10284,Train,Excellent,1,5,5,Yes,Adventure trip
17,Male,tamil nadu,Student,"â‚¹3,000 â€“ â‚¹7,000",Tamilnadu ,Family trip,4,November,autumn,6158,Train,Excellent,5,5,5,Yes,Adventure trip
20,Female,telangana,Student,"â‚¹7,000 â€“ â‚¹15,000",Shirdi,Family trip,3,May,winter,17000,Train,Good,4,5,4,Yes,Adventure trip
20,Female,Kerala,Student,"â‚¹1,000 â€“ â‚¹3,000",Punjab,Family trip,3,August,Summer,5000,Flight,Good,3,5,5,Maybe,Nature & sightseeing
26,Male,Karnataka,Student,"â‚¹3,000 â€“ â‚¹7,000",Triund,Family trip,6,May,Summer,7000,Train,Good,4,5,4,Yes,Budget travel
20,Female,madhya pradesh,Student,"â‚¹3,000 â€“ â‚¹7,000",Manali,Friends trip,4,October,summer,10000,Car,Good,4,5,3,Yes,Nature & sightseeing
19,Female,Andhra Pradesh,Student,"â‚¹3,000 â€“ â‚¹7,000",Amritsar,Friends trip,1,October,summer,1000,Train,Good,1,1,1,Yes,Cultural exploration
19,Male,Andhra Pradesh,Student,"Above â‚¹15,000",Badrinath ,Friends trip,5,October,Spring,8000,Train,Good,2,5,5,Yes,Adventure trip
18,Male,kerala,Student,"â‚¹7,000 â€“ â‚¹15,000",Himachal ,Friends trip,1,October,Spring,1354,Bus,Average,3,5,2,No,Adventure trip
21,Male,haryana,Student,"â‚¹3,000 â€“ â‚¹7,000",Dharamshala ,Friends trip,3,October,summer,3100,Bus,Excellent,4,5,5,Yes,Nature & sightseeing
21,Male,Andhra Pradesh,Student,"â‚¹3,000 â€“ â‚¹7,000",Haridwar ,Friends trip,4,October,rainy,3000,Train,Excellent,5,5,5,Maybe,Budget travel
21,Female,odisha,Student,"â‚¹1,000 â€“ â‚¹3,000",Dharmashala ,Friends trip,3,January,autumn,7000,Bus,Very poor,3,3,3,Yes,Nature & sightseeing
27,Female,punjab,Student,"â‚¹1,000 â€“ â‚¹3,000",Delhi,Family trip,3,November,Spring,4720,Bus,Average,3,4,4,Yes,Cultural exploration
20,Female,gujarat,Student,"â‚¹7,000 â€“ â‚¹15,000",Tadkeshwar dham ,Family trip,1,November,winter,5000,Car,Average,3,5,4,Yes,Nature & sightseeing
21,Male,jammu,Student,"â‚¹1,000 â€“ â‚¹3,000",Vaishno devi,Friends trip,4,September,summer,5000,Train,Good,4,4,4,Maybe,Cultural exploration
24,Male,assam,Student,"â‚¹3,000 â€“ â‚¹7,000",Manali,Family trip,6,November,Rainy,7378,Flight,Good,3,5,4,Yes,Nature & sightseeing
19,Female,Andhra Pradesh ,Student,"Less than â‚¹1,000",Vizag,Solo,2,May,Summer,3500,Train,Excellent,5,5,5,Yes,Food-focused trip
19,Male,Andhra Pradesh,Student,"Less than â‚¹1,000",Una,Friends trip,2,September,summer,2000,Bike,Average,5,5,2,No,Cultural exploration
20,Female,Agra,Student,"â‚¹3,000 â€“ â‚¹7,000",Amritsar ,Friends trip,1,September,Spring,2700,Flight,Very poor,1,1,1,No,Luxury travel
23,Female,Kerala,Student,"â‚¹1,000 â€“ â‚¹3,000",Triund,Friends trip,4,October,Winter,4696,Bus,Good,3,5,5,Yes,Adventure trip
19,Female,odisha,Student,"â‚¹3,000 â€“ â‚¹7,000",Bali,Family trip,4,April,winter,10000,Car,Excellent,4,5,5,Yes,Nature & sightseeing
19,Male,Andhra Pradesh,Student,"â‚¹1,000 â€“ â‚¹3,000",Dharmashala,Friends trip,3,November,summer,3000,Train,Poor,2,4,4,Yes,Budget travel
23,Female,kerala,Student,"Less than â‚¹1,000",Amirtsar,Family trip,5,October,rainy,7062,Train,Average,1,5,5,Maybe,Relaxing holiday
23,Female,Bihar ,Student,"â‚¹7,000 â€“ â‚¹15,000",Amritsar ,Friends trip,3,April,Spring,4706,Car,Average,5,3,4,Yes,Luxury travel
20,Male,andhra pradesh,Student,"â‚¹3,000 â€“ â‚¹7,000",Jalandhar,Friends trip,2,November,autumn,2060,Bus,Good,4,4,3,No,Relaxing holiday
21,Female,Andhra Pradesh,Student,"â‚¹7,000 â€“ â‚¹15,000",Jalandhar1,Friends trip,17,November,Spring,26000,Flight,Good,3,4,3,Maybe,Cultural exploration
21,Male,west bengal,Student,"Less than â‚¹1,000",Dehli,Solo,2,September,autumn,1946,Flight,Excellent,3,5,5,Maybe,Luxury travel
17,Male,telangana,Working Professional,"Less than â‚¹1,000",Murdeshwar,Family trip,2,November,summer,3743,Car,Good,4,5,4,Yes,Nature & sightseeing
19,Female,andhra pradesh,Student,"â‚¹1,000 â€“ â‚¹3,000",tirupati ,Friends trip,2,June,winter,2500,Train,Good,4,4,4,Yes,Nature & sightseeing
19,Female,Bihar ,Student,"â‚¹1,000 â€“ â‚¹3,000",Kashmir,Family trip,3,June,winter,4461,Car,Good,3,4,5,Yes,Relaxing holiday
22,Female,punjab,Student,"â‚¹3,000 â€“ â‚¹7,000",dwarkadhish temple,Friends trip,4,August,rainy,5300,Bike,Average,4,4,3,Yes,Adventure trip
24,Male,Haryana ,Student,"Less than â‚¹1,000",Panipat,Family trip,2,February,Autumn,1000,Bike,Excellent,4,5,4,Yes,Luxury travel
20,Female,bihar,Student,"â‚¹7,000 â€“ â‚¹15,000",dwarkadhish temple,Business trip,4,July,summer,10000,Bike,Very poor,1,1,1,No,Relaxing holiday
19,Male,Andhra Pradesh,Student,"â‚¹3,000 â€“ â‚¹7,000",Varanasi ,Friends trip,4,November,autumn,5000,Train,Good,5,5,5,Yes,Cultural exploration
19,Female,punjab,Student,"â‚¹7,000 â€“ â‚¹15,000",Jammu ,Friends trip,6,March,winter,11152,Train,Good,3,3,1,Yes,Relaxing holiday
22,Male,Andhra pradesh ,Student,"â‚¹7,000 â€“ â‚¹15,000",Vizag,Solo,3,October,Summer,3315,Train,Good,3,2,5,Yes,Food-focused trip
23,Male,india,Working Professional,"Less than â‚¹1,000",kedarnath,Family trip,2,May,rainy,3474,Car,Good,5,4,4,Maybe,Adventure trip
22,Female,Andhra pradesh,Student,"Less than â‚¹1,000",Amritsar ,Friends trip,2,October,autumn,2000,Bus,Average,4,4,5,Yes,Relaxing holiday
20,Female,Andhra radesh,Student,"â‚¹1,000 â€“ â‚¹3,000",Manali,Friends trip,3,October,summer,4000,Bus,Average,4,5,4,Yes,Cultural exploration
21,Female,uttar pradesh,Student,"â‚¹3,000 â€“ â‚¹7,000",delhi,Friends trip,3,October,summer,4000,Train,Average,4,4,4,Maybe,Nature & sightseeing
17,Male,west bengal,Student,"Above â‚¹15,000",Dharmashala,Friends trip,1,February,rainy,2500,Train,Poor,5,5,5,Yes,Cultural exploration
20,Female,assam,Student,"â‚¹3,000 â€“ â‚¹7,000",Uttar pradesh ,Friends trip,4,January,summer,10000,Bus,Average,3,5,5,Yes,Relaxing holiday
20,Female,Andhra Pradesh,Student,"Less than â‚¹1,000",Iskon temple ,Friends trip,0,November,winter,18000,Bus,Average,4,3,3,Yes,Relaxing holiday
20,Female,uttar pradesh,Student,"â‚¹3,000 â€“ â‚¹7,000",Dharamshala ,Friends trip,5,October,summer,1000,Bus,Good,4,5,5,Maybe,Adventure trip
18,Female,Uttar pradesh,Student,"â‚¹1,000 â€“ â‚¹3,000",Amritsar,Solo,5,August,autumn,7557,Train,Good,3,3,5,No,Nature & sightseeing
21,Female,Hyderabad,Student,"Less than â‚¹1,000",Amritsar,Solo,2,June,rainy,2770,Train,Average,3,5,5,Maybe,Relaxing holiday
20,Female,hyderabad,Student,"â‚¹3,000 â€“ â‚¹7,000",Mussoorie ,Family trip,1,October,Summer,1290,Flight,Excellent,5,5,5,Yes,Nature & sightseeing
17,Male,Andhra Pradesh,Student,"â‚¹3,000 â€“ â‚¹7,000",Tirupati,Friends trip,1,October,winter,1800,Train,Good,5,5,3,Yes,Food-focused trip
23,Male,andhra pradesh,Student,"â‚¹1,000 â€“ â‚¹3,000",Rajahmundry ,Solo,3,November,Spring,2000,Bus,Average,2,4,3,Maybe,Relaxing holiday
27,Male,andhra pradesh,Working Professional,"â‚¹1,000 â€“ â‚¹3,000",Hyderabad,Friends trip,2,December,rainy,2500,Bus,Good,2,3,4,No,Relaxing holiday
20,Female,goa,Student,"â‚¹1,000 â€“ â‚¹3,000",dehradun ,Solo,4,July,Spring,9000,Train,Average,3,3,3,Maybe,Nature & sightseeing
20,Male,Andhra Pradesh,Student,"Above â‚¹15,000",Kedarnath,Friends trip,5,September,winter,21400,Train,Average,3,1,1,Yes,Adventure trip
20,Female,Uttar pradesh ,Working Professional,"Less than â‚¹1,000",Triund,Friends trip,4,October,Spring,3000,Bus,Good,4,4,5,Yes,Adventure trip
19,Male,Andhra Pradesh,Student,"â‚¹3,000 â€“ â‚¹7,000",Manali,Friends trip,9,February,winter,14475,Car,Good,3,5,3,Maybe,Relaxing holiday
37,Male,Rajasthan ,Working Professional,"â‚¹3,000 â€“ â‚¹7,000",Hyderabad,Solo,2,November,autumn,10000,Bus,Good,4,5,5,Yes,Relaxing holiday
17,Female,Kerala ,Student,"â‚¹7,000 â€“ â‚¹15,000",Dharamshala ,Family trip,7,October,Autumn,10066,Car,Good,4,5,5,Yes,Cultural exploration
17,Female,Hyderabad,Student,"â‚¹1,000 â€“ â‚¹3,000",Amritsar ,Family trip,4,February,Winter,7384,Car,Average,4,5,5,No,Relaxing holiday
18,Female,jammu,Student,"â‚¹1,000 â€“ â‚¹3,000",Himachal ,Friends trip,1,July,Spring,1363,Bus,Good,2,5,5,Yes,Adventure trip
20,Male,punjab,Student,"â‚¹3,000 â€“ â‚¹7,000",Punjab,Solo,1,September,rainy,1000,Train,Average,4,3,3,Maybe,Nature & sightseeing
17,Female,Rajasthan ,Student,"â‚¹3,000 â€“ â‚¹7,000",Karnataka ,Family trip,9,July,Winter,12473,Car,Very poor,5,5,5,Maybe,Budget travel
18,Male,haryana,Student,"â‚¹3,000 â€“ â‚¹7,000",Spiti ,Friends trip,5,November,Spring,6649,Car,Average,5,4,4,Yes,Food-focused trip
25,Female,Punjab,Student,"â‚¹3,000 â€“ â‚¹7,000",Triund,Friends trip,3,June,Rainy,2000,Bus,Average,4,5,5,Yes,Luxury travel
21,Male,Rajasthan ,Working Professional,"â‚¹3,000 â€“ â‚¹7,000",Delhi,Friends trip,2,May,winter,3244,Car,Average,3,4,4,No,Food-focused trip
21,Male,Andhra pradesh ,Student,"â‚¹1,000 â€“ â‚¹3,000",Badrinath ,Family trip,8,July,summer,9782,Bus,Average,5,5,5,Yes,Relaxing holiday
17,Female,chandigarh,Student,"â‚¹7,000 â€“ â‚¹15,000",Jalandhar1,Friends trip,4,November,rainy,5594,Car,Good,4,5,3,Yes,Adventure trip
18,Female,tamil nadu,Student,"â‚¹1,000 â€“ â‚¹3,000",Manali,Friends trip,6,October,Autumn,9530,Train,Good,4,5,5,Maybe,Budget travel
17,Male,punjab,Student,"â‚¹1,000 â€“ â‚¹3,000",Bengaluru ,Friends trip,1,October,rainy,1497,Bus,Good,4,5,5,Yes,Cultural exploration
22,Male,haryana,Student,"â‚¹3,000 â€“ â‚¹7,000",Delhi ,Friends trip,2,June,winter,2422,Train,Excellent,4,5,4,Yes,Cultural exploration
19,Male,Haryana ,Student,"â‚¹3,000 â€“ â‚¹7,000",Uttarakhand,Family trip,3,April,rainy,3385,Train,Average,1,5,4,Yes,Nature & sightseeing
21,Male,Andhra Pradesh,Student,"â‚¹3,000 â€“ â‚¹7,000",Haridwar,Friends trip,6,November,Spring,2000,Train,Average,5,5,5,Yes,Adventure trip
20,Female,kerala,Student,"â‚¹3,000 â€“ â‚¹7,000",Vrindavan ,Friends trip,4,October,Spring,19500,Train,Good,4,5,5,Yes,Adventure trip
27,Male,Andhra Pradesh,Business,"â‚¹3,000 â€“ â‚¹7,000",kashmir,Business trip,8,March,Rainy,2700,Train,Excellent,5,4,5,Yes,Nature & sightseeing
19,Male,punjab,Student,"â‚¹3,000 â€“ â‚¹7,000",Ludhiana,Friends trip,1,December,autumn,1732,Train,Good,5,5,5,Maybe,Relaxing holiday
21,Male,Andhra radesh,Student,"â‚¹3,000 â€“ â‚¹7,000",kashmir,Friends trip,7,July,winter,14000,Train,Excellent,4,4,4,Yes,Luxury travel
21,Female,andhra pradesh,Student,"â‚¹3,000 â€“ â‚¹7,000",Tamilnadu ,Friends trip,3,February,rainy,5000,Bus,Average,3,4,4,Maybe,Nature & sightseeing
19,Female,tamil nadu,Business,"â‚¹3,000 â€“ â‚¹7,000",Delhi,Family trip,3,March,rainy,3885,Train,Average,4,5,5,Yes,Relaxing holiday
19,Male,Punjab,Student,"â‚¹3,000 â€“ â‚¹7,000",Manali,Solo,4,November,Winter,3500,Bus,Very poor,4,5,4,Yes,Luxury travel
24,Male,andhra pradesh,Student,"â‚¹3,000 â€“ â‚¹7,000",tirupati,Solo,1,February,Summer,3500,Bus,Good,4,5,5,Yes,Luxury travel
32,Male,jharkhand,Student,"â‚¹1,000 â€“ â‚¹3,000","Kedarnath, badrinath ",Friends trip,8,November,summer,14093,Car,Average,3,5,4,Maybe,Nature & sightseeing
21,Female,Karnataka,Student,"â‚¹1,000 â€“ â‚¹3,000",Himachal ,Friends trip,3,February,winter,10000,Bus,Average,2,3,3,Maybe,Food-focused trip
25,Male,tamil nadu,Student,"Less than â‚¹1,000",kashmir,Friends trip,7,November,Winter,20000,Flight,Good,4,5,4,Yes,Budget travel
25,Female,assam,Student,"â‚¹1,000 â€“ â‚¹3,000",tirupati,Friends trip,3,January,Rainy,3334,Flight,Good,5,5,5,Yes,Nature & sightseeing
21,Male,Andhra Pradesh,Student,"â‚¹1,000 â€“ â‚¹3,000",india gate,Friends trip,1,November,summer,3200,Bike,Good,4,4,4,No,Relaxing holiday
17,Female,Telengana ,Student,"â‚¹1,000 â€“ â‚¹3,000",dwarkadhish temple,Solo,8,October,Winter,8449,Flight,Average,5,5,5,Yes,Relaxing holiday
27,Male,Visakhapatnam ,Student,"â‚¹1,000 â€“ â‚¹3,000",Agra,Solo,7,June,Summer,5000,Train,Good,5,4,5,Yes,Adventure trip
19,Female,Andhra Pradesh,Student,"â‚¹1,000 â€“ â‚¹3,000",kashmir,Friends trip,5,November,Winter,8000,bus,Average,4,4,5,Yes,Luxury travel
20,Female,bihar,Student,"â‚¹7,000 â€“ â‚¹15,000",Mussoorie ,Family trip,3,September,autumn,6000,Train,Good,3,5,4,Yes,Adventure trip
20,Female,madhya pradesh,Student,"â‚¹7,000 â€“ â‚¹15,000",Manali,Solo,3,July,summer,4799,Car,Good,5,5,4,Maybe,Nature & sightseeing
19,Female,Maharashtra ,Student,"Less than â‚¹1,000",Chennai,Family trip,7,January,winter,9000,Car,Good,4,4,4,Yes,Nature & sightseeing
27,Male,Andhra Pradesh ,Student,"â‚¹3,000 â€“ â‚¹7,000",Tirupati ,Family trip,7,October,Autumn,3500,Train,Good,5,5,4,Yes,Adventure trip
22,Female,punjab,Student,"â‚¹7,000 â€“ â‚¹15,000",Bangalore ,Friends trip,4,October,winter,4914,Car,Very poor,4,5,4,No,Adventure trip
21,Male,Andhra Pradesh,Student,"â‚¹3,000 â€“ â‚¹7,000",Delhi,Friends trip,1,November,rainy,2000,Car,Average,1,2,2,No,Cultural exploration
19,Male,madhya pradesh,Working Professional,"â‚¹7,000 â€“ â‚¹15,000",Tirumala,Friends trip,1,October,winter,1018,Bike,Good,2,5,5,Yes,Adventure trip
19,Female,Andhra Pradesh,Student,"Less than â‚¹1,000",Kashmir,Friends trip,5,November,summer,2000,Car,Average,3,5,4,Yes,Adventure trip
17,Female,uttar pradesh,Student,"â‚¹7,000 â€“ â‚¹15,000",Ram mandir ,Friends trip,3,October,Spring,6000,Train,Good,4,5,4,Yes,Cultural exploration
20,Male,Rajasthan ,Student,"â‚¹3,000 â€“ â‚¹7,000",assam,Solo,2,June,Spring,500,Bus,Excellent,3,5,5,Yes,Nature & sightseeing
20,Male,uttar pradesh,Student,"â‚¹3,000 â€“ â‚¹7,000",Bangalore ,Friends trip,1,December,rainy,1169,Flight,Good,4,4,4,Maybe,Nature & sightseeing
21,Male,Andhra Pradesh,Student,"â‚¹7,000 â€“ â‚¹15,000",Vishakapatnam,Friends trip,7,August,summer,20000,Car,Excellent,5,5,5,Maybe,Budget travel
17,Female,Uttar Pradesh ,Student,"Less than â‚¹1,000",Amritsar ,Family trip,2,January,Winter,3357,Train,Good,4,4,4,Yes,Cultural exploration
20,Female,Andhra Pradesh,Student,"Less than â‚¹1,000",Katra,Friends trip,4,November,Summer,4664,Bus,Good,3,5,4,Yes,Food-focused trip
21,Male,manipur,Student,"â‚¹3,000 â€“ â‚¹7,000",Coorg,Solo,7,November,autumn,21500,Flight,Average,5,5,5,Yes,Relaxing holiday
20,Male,telangana,Student,"â‚¹7,000 â€“ â‚¹15,000",Murdeshwar,Family trip,5,October,autumn,10000,Car,Good,5,5,5,Yes,Nature & sightseeing
18,Female,Andhra pradesh,Student,"â‚¹1,000 â€“ â‚¹3,000",Amritsar,Friends trip,1,December,Winter,7000,Car,Average,3,4,3,Yes,Relaxing holiday
26,Female,Karnataka,Working Professional,"â‚¹1,000 â€“ â‚¹3,000",Coorg,Friends trip,5,October,Autumn,25000,Car,Good,4,4,4,Yes,Relaxing holiday
27,Male,kerala,Business,"â‚¹7,000 â€“ â‚¹15,000",india gate,Business trip,3,August,autumn,3500,Train,Good,4,5,5,Yes,Adventure trip
21,Female,Rajasthan ,Student,"â‚¹7,000 â€“ â‚¹15,000",Ridhi Sidhi,Solo,6,October,Autumn,9600,Bike,Good,5,5,5,Yes,Relaxing holiday
21,Female,assam,Student,"Less than â‚¹1,000",Dharmasthala,Friends trip,6,January,Winter,9604,Flight,Average,3,3,5,Yes,Nature & sightseeing
20,Female,haryana,Student,"â‚¹7,000 â€“ â‚¹15,000",Jalandhar ,Friends trip,3,November,summer,3335,Car,Average,4,3,3,Yes,Luxury travel
17,Male,Karnataka,Student,"Less than â‚¹1,000",Kashmir ,Friends trip,7,October,rainy,10902,Train,Good,4,4,4,No,Nature & sightseeing
21,Female,Andhra Aradesh,Student,"â‚¹1,000 â€“ â‚¹3,000",dwarkadhish temple,Business trip,1,October,summer,1583,Car,Average,5,5,4,Yes,Cultural exploration
21,Female,andhra pradesh,Student,"Above â‚¹15,000",baga beach,Solo,4,June,summer,26790,Flight,Good,4,4,4,Yes,Adventure trip
19,Male,jammu,Student,"Above â‚¹15,000",Jammu and Kashmir ,Family trip,2,August,winter,2913,Train,Average,5,5,5,Yes,Cultural exploration
20,Female,New Delhi,Student,"â‚¹1,000 â€“ â‚¹3,000",Amritsar,Friends trip,1,November,Autumn,780,Car,Excellent,1,5,5,No,Luxury travel
22,Male,odisha,Student,"â‚¹3,000 â€“ â‚¹7,000",tirupati,Friends trip,2,April,Rainy,2251,Bike,Good,4,5,5,Yes,Cultural exploration
21,Female,Kerala,Student,"â‚¹1,000 â€“ â‚¹3,000",Himachal ,Friends trip,3,October,Summer,5000,Bus,Good,3,5,5,Yes,Adventure trip
19,Female,telangana,Student,"â‚¹1,000 â€“ â‚¹3,000",Himachal pradesh ,Friends trip,7,October,Spring,15000,Car,Excellent,5,5,5,Yes,Adventure trip
22,Female,Maharashtra ,Student,"â‚¹7,000 â€“ â‚¹15,000",Varanasi ,Friends trip,5,November,winter,7893,Bus,Excellent,3,4,5,Maybe,Nature & sightseeing
21,Female,uttar pradesh,Student,"Less than â‚¹1,000",Manali,Friends trip,7,August,winter,9428,Flight,Very poor,4,5,5,Yes,Relaxing holiday
21,Female,telangana,Student,"Less than â‚¹1,000",Jammu Kashmir ,Friends trip,9,August,summer,16611,Train,Good,5,5,5,Maybe,Luxury travel
21,Male,odisha,Student,"â‚¹3,000 â€“ â‚¹7,000",Coorg,Friends trip,4,November,autumn,6700,Bus,Good,2,1,2,No,Budget travel
17,Female,telangana,Student,"â‚¹1,000 â€“ â‚¹3,000",Himachal ,Friends trip,1,October,rainy,1169,Bike,Average,4,4,3,No,Relaxing holiday
22,Male,assam,Student,"â‚¹3,000 â€“ â‚¹7,000",Amritsar ,Friends trip,5,November,winter,5081,Train,Average,4,2,3,Yes,Adventure trip
19,Female,Andhra Pradesh,Student,"â‚¹7,000 â€“ â‚¹15,000",Kewadia,Friends trip,1,February,autumn,1162,Train,Average,3,5,5,No,Cultural exploration
18,Male,Andhra Pradesh,Student,"â‚¹1,000 â€“ â‚¹3,000",Palampur ,Friends trip,3,November,autumn,3319,Car,Good,4,4,5,Maybe,Cultural exploration
21,Male,punjab,Student,"â‚¹3,000 â€“ â‚¹7,000",Himachal,Family trip,9,June,autumn,13230,Bus,Average,4,5,3,Yes,Budget travel
21,Female,uttar pradesh,Working Professional,"Above â‚¹15,000",dwarkadhish temple,Solo,7,November,winter,8862,Bus,Good,2,3,3,Yes,Adventure trip
17,Male,odisha,Student,"â‚¹3,000 â€“ â‚¹7,000",Jalandhar ,Solo,8,October,Spring,9502,Car,Excellent,4,2,5,Yes,Relaxing holiday
20,Female,goa,Student,"â‚¹7,000 â€“ â‚¹15,000",Coorg,Solo,5,November,winter,7520,Flight,Poor,3,2,2,No,Nature & sightseeing
20,Male,goa,Student,"â‚¹3,000 â€“ â‚¹7,000",Agra,Friends trip,3,November,summer,25000,Train,Average,4,5,5,Maybe,Adventure trip
19,Female,vijayawada,Student,"Above â‚¹15,000",Vijayawada,Friends trip,6,November,summer,9577,Bus,Good,5,5,5,Yes,Relaxing holiday
20,Male,west bengal,Student,"â‚¹3,000 â€“ â‚¹7,000",Dehli,Solo,1,May,autumn,1700,Flight,Excellent,1,5,5,Yes,Luxury travel
24,Female,Rajasthan ,Student,"â‚¹3,000 â€“ â‚¹7,000",Manali,Friends trip,4,October,rainy,7469,Bus,Excellent,4,5,5,Yes,Adventure trip
21,Female,Amritsar ,Student,"â‚¹3,000 â€“ â‚¹7,000",Tirupati ,Friends trip,4,July,Summer,4029,Car,Average,5,5,5,Yes,Nature & sightseeing
21,Female,chandigarh,Student,"â‚¹3,000 â€“ â‚¹7,000",Jammu and Kashmir ,Family trip,7,August,winter,10000,Car,Good,4,5,5,Yes,Cultural exploration
17,Female,Andhra radesh,Student,"â‚¹1,000 â€“ â‚¹3,000",Ludhiana,Friends trip,6,November,winter,6644,Car,Good,4,5,1,Maybe,Relaxing holiday
20,Female,Hyderabad ,Student,"â‚¹3,000 â€“ â‚¹7,000",Manali,Friends trip,6,October,Winter,2000,Car,Average,4,4,4,Yes,Nature & sightseeing
17,Male,punjab,Student,"Less than â‚¹1,000",Spiti ,Family trip,6,May,winter,6967,Car,Good,4,5,4,Yes,Relaxing holiday
24,Female,Himachal Pradesh ,Student,"â‚¹1,000 â€“ â‚¹3,000",Kashmir ,Friends trip,2,October,summer,2086,Bus,Good,4,5,5,Yes,Budget travel
